DESCRIPTION: LINE 2 IS THE HEADER; LINE 3 IS START_DATE; THE FOLLOWING LINES: FEES LIST; THE COLUMNS ARE SEPARATED BY TAB
MBS	MBS Fee (Jan 2015)	AHSA $ Benefit	AHSA % Benefit
18292	$124.85	$196.90	
18294	$176.00	$277.60	
18296	$150.55	$247.30	
18298	$176.00	$289.30	
18350	$124.85	$194.10	
18351	$124.85	$194.20	
18353	$249.75	$388.50	
18354	$124.85	$194.10	
18360	$124.85	$194.10	
18361	$124.85	$194.10	
18362	$246.70	$383.60	
18365	$124.85	$194.10	
18366	$156.40	$243.20	
18368	$267.05	$415.20	
18369	$45.05	$70.30	
18370	$45.05	$70.30	
18372	$124.85	$194.20	
18374	$124.85	$194.20	
18375	$229.85	$357.60	
18377	$124.85	$194.30	
18379	$229.85	$357.60	
20100	$99.00	$177.00	
20102	$118.80	$212.40	
20104	$79.20	$141.60	
20120	$99.00	$177.00	
20124	$79.20	$141.60	
20140	$99.00	$177.00	
20142	$118.80	$212.40	
20143	$118.80	$212.40	
20144	$158.40	$283.20	
20145	$158.40	$283.20	
20146	$99.00	$177.00	
20147	$118.80	$212.40	
20148	$79.20	$141.60	
20160	$118.80	$212.40	
20162	$138.60	$247.80	
20164	$79.20	$141.60	
20170	$118.80	$212.40	
20172	$138.60	$247.80	
20174	$178.20	$318.60	
20176	$198.00	$354.00	
20190	$99.00	$177.00	
20192	$198.00	$354.00	
20210	$297.00	$531.00	
20212	$99.00	$177.00	
20214	$178.20	$318.60	
20216	$396.00	$708.00	
20220	$198.00	$354.00	
20222	$118.80	$212.40	
20225	$237.60	$424.80	
20230	$237.60	$424.80	
20300	$99.00	$177.00	
20305	$297.00	$531.00	
20320	$118.80	$212.40	
20321	$198.00	$354.00	
20330	$158.40	$283.20	
20350	$198.00	$354.00	
20352	$99.00	$177.00	
20355	$237.60	$424.80	
20400	$59.40	$106.20	
20401	$79.20	$141.60	
20402	$99.00	$177.00	
20403	$99.00	$177.00	
20404	$118.80	$212.40	
20405	$158.40	$283.20	
20406	$257.40	$460.20	
20410	$99.00	$177.00	
20420	$99.00	$177.00	
